priority_score,business_name,category,phone,address,web_status,pitch_angle,offer,call_opener,status,next_action_date,notes
"80","BORJAS Roofing","roofing","(954) 995-3894","Fort Lauderdale, FL 33309","weak_directory_style_site","storm-season lead capture + financing pages","roofing landing page stack + financing CTA + review embeds","Hi, is this BORJAS Roofing? I help roofing businesses in 33309 get more storm-season lead capture + financing pages. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/borjas-roofing-464500787"
"80","Compare Roofing Experts","roofing","(888) 906-6670","33309 area","weak_directory_style_site","storm-season lead capture + financing pages","roofing landing page stack + financing CTA + review embeds","Hi, is this Compare Roofing Experts? I help roofing businesses in 33309 get more storm-season lead capture + financing pages. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/nationwide/mip/compare-roofing-experts-577854062?lid=1002193288270"
"80","Controlled Air Corp","hvac","(954) 565-2586","33309 area","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Controlled Air Corp? I help hvac businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/oakland-park-fl/mip/controlled-air-corp-503436821"
"80","Demeo Automotive","auto repair","(954) 648-5366","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Demeo Automotive? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/demeo-automotive-501814107"
"80","Drain Service","plumbers","(954) 903-2505","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Drain Service? I help plumbers businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/drain-service-545190089"
"80","Ec Detailing","auto repair","(954) 351-8002","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Ec Detailing? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/ec-detailing-17146397"
"80","Eh Hosbach Plumbing","plumbers","(954) 368-7965","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Eh Hosbach Plumbing? I help plumbers businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/eh-hosbach-plumbing-497702330"
"80","Empire Manufacturing","auto repair","(954) 626-0056","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Empire Manufacturing? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/empire-manufacturing-544980971"
"80","Energy","electricians","(954) 366-1478","Ft Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Energy? I help electricians businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/ft-lauderdale-fl/mip/energy-474492648"
"80","Experienced Plumbing Service","plumbers","(954) 284-0916","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Experienced Plumbing Service? I help plumbers businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/experienced-plumbing-service-550709210"
"80","Fender Mender","auto repair","(954) 772-0313","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Fender Mender? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/fender-mender-509477371"
"80","Fl National AC Repair","hvac","(954) 233-3932","Oakland Park, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Fl National AC Repair? I help hvac businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/oakland-park-fl/mip/fl-national-ac-repair-470784958"
"80","Forestar Plumbing","plumbers","(954) 942-2261","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Forestar Plumbing? I help plumbers businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/forestar-plumbing-542859878"
"80","Fort Lauderdale Collision","auto repair","(954) 491-3904","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Fort Lauderdale Collision? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/fort-lauderdale-collision-497171963"
"80","Fort Lauderdale Cooling Professionals","plumbers","(954) 634-5359","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Fort Lauderdale Cooling Professionals? I help plumbers businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/fort-lauderdale-cooling-professionals-525905974"
"80","Fort Lauderdale Plumbing Hydrojetting","plumbers","(954) 363-9287","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Fort Lauderdale Plumbing Hydrojetting? I help plumbers businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/fort-lauderdale-plumbing-hydrojetting-550685421"
"80","Great Electricians","electricians","(954) 507-4964","Oakland Park, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Great Electricians? I help electricians businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/oakland-park-fl/mip/great-electricians-528302628"
"80","Industrial Roofing Inc","roofing","(954) 537-1188","Fort Lauderdale, FL 33309","weak_directory_style_site","storm-season lead capture + financing pages","roofing landing page stack + financing CTA + review embeds","Hi, is this Industrial Roofing Inc? I help roofing businesses in 33309 get more storm-season lead capture + financing pages. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/industrial-roofing-inc-537699312"
"80","J R Pump Service Inc","plumbers","(941) 488-5452","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this J R Pump Service Inc? I help plumbers businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/j-r-pump-service-inc-579100979"
"80","Jampro Plumbing Inc","plumbers","(954) 558-2191","Lauderdale Lakes, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Jampro Plumbing Inc? I help plumbers businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/lauderdale-lakes-fl/mip/jampro-plumbing-inc-551901081"
"80","Jubin Auto","auto repair","(954) 772-1033","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Jubin Auto? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/jubin-auto-483626280"
"80","Jubin Auto Repair","auto repair","(954) 630-2860","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Jubin Auto Repair? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/jubin-auto-repair-1839264"
"80","Langer Electric","electricians","(954) 984-8489","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Langer Electric? I help electricians businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/langer-electric-553174386"
"80","Local Roofing Contractors","roofing","(754) 240-0474","Fort Lauderdale, FL 33309","weak_directory_style_site","storm-season lead capture + financing pages","roofing landing page stack + financing CTA + review embeds","Hi, is this Local Roofing Contractors? I help roofing businesses in 33309 get more storm-season lead capture + financing pages. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/local-roofing-contractors-552463870"
"80","Petits Automotive","auto repair","(954) 364-8880","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Petits Automotive? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/petits-automotive-490264689"
"80","Pines Automotive-Brake Express","auto repair","(954) 583-7755","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Pines Automotive-Brake Express? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/pines-automotive-brake-express-22781133"
"80","Precision Tune Auto Care","auto repair","(954) 747-9907","Fort Lauderdale, FL 33309","weak_directory_style_site","service booking + map pack trust","service menu + appointment form + local SEO page set","Hi, is this Precision Tune Auto Care? I help auto repair businesses in 33309 get more service booking + map pack trust. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/precision-tune-auto-care-6019369"
"80","Premier Construction Contractors","roofing","(954) 214-7214","Fort Lauderdale, FL 33309","weak_directory_style_site","storm-season lead capture + financing pages","roofing landing page stack + financing CTA + review embeds","Hi, is this Premier Construction Contractors? I help roofing businesses in 33309 get more storm-season lead capture + financing pages. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/premier-construction-contractors-506572017"
"80","Premier Electrical Staffing","electricians","(954) 530-7672","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Premier Electrical Staffing? I help electricians businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/premier-electrical-staffing-534134808"
"80","Reeve Air Conditioning Inc","hvac","(954) 764-4481","Fort Lauderdale, FL 33309","weak_directory_style_site","emergency calls + quote requests","3-page service site + call tracking + quote form in 7 days","Hi, is this Reeve Air Conditioning Inc? I help hvac businesses in 33309 get more emergency calls + quote requests. I noticed your web presence is weak directory style site. Could I show you a 1-page mockup for your business this week?","new","2026-07-11","https://www.yellowpages.com/fort-lauderdale-fl/mip/reeve-air-conditioning-inc-462406928"
